Date,Tenkan,Kijun,Senkou_A,Senkou_B,Close
2022-04-26,273250.0,290500.0,281875.0,285750.0,260500.0
2022-04-27,273250.0,290500.0,281875.0,285750.0,260500.0
2022-04-28,270000.0,290500.0,280250.0,285750.0,259000.0
2022-04-29,265000.0,290500.0,277750.0,285750.0,251500.0
2022-05-02,263000.0,289500.0,276250.0,288000.0,252500.0
2022-05-03,255750.0,289500.0,272625.0,289500.0,253500.0
2022-05-04,254250.0,289500.0,271875.0,289500.0,247000.0
2022-05-06,252000.0,287250.0,269625.0,287250.0,241000.0
2022-05-10,241500.0,276750.0,259125.0,276750.0,230500.0
2022-05-11,241500.0,276750.0,259125.0,276750.0,228000.0
2022-05-12,237500.0,264500.0,251000.0,273000.0,213000.0
2022-05-13,236000.0,261250.0,248625.0,273000.0,215000.0
2022-05-16,234250.0,257500.0,245875.0,273000.0,215500.0
2022-05-17,234250.0,257000.0,245625.0,273000.0,219000.0
2022-05-18,233750.0,257000.0,245375.0,273000.0,220000.0
2022-05-19,230250.0,257000.0,243625.0,273000.0,218500.0
2022-05-20,222750.0,257000.0,239875.0,273000.0,221000.0
2022-05-23,222750.0,255750.0,239250.0,273000.0,221000.0
2022-05-24,219000.0,255750.0,237375.0,273000.0,215500.0
2022-05-25,219000.0,252500.0,235750.0,273000.0,219500.0
2022-05-26,219250.0,247500.0,233375.0,273000.0,214500.0
2022-05-27,219250.0,246500.0,232875.0,273000.0,218500.0
2022-05-30,220000.0,239250.0,229625.0,273000.0,228000.0
2022-05-31,222500.0,237750.0,230125.0,273000.0,231000.0
2022-06-02,223000.0,237750.0,230375.0,273000.0,227000.0
2022-06-03,223250.0,237750.0,230500.0,273000.0,228000.0
2022-06-07,223250.0,237750.0,230500.0,273000.0,221500.0
2022-06-08,223250.0,237500.0,230375.0,273000.0,222000.0
2022-06-09,223250.0,236000.0,229625.0,273000.0,227500.0
2022-06-10,224250.0,234250.0,229250.0,273000.0,223500.0
2022-06-13,215750.0,227750.0,221750.0,266500.0,199000.0
2022-06-14,208750.0,220250.0,214500.0,259500.0,193000.0
2022-06-15,185750.0,194000.0,189875.0,236750.0,145000.0
